"Item #","Product Name","Product Description","Product description orignal html",Brand,"category 1","category 2","category 3","category 4","Retail Price","Wholesale Price Before Markup","MAP Price","Supplier handling fee",Weight,"Qty in stock","In Stock",UPC,"Image name","URL to large image","URL to thumb image","refurbished flag","Attribute list","Shipping for USA","manufacturer prod id","shipping length","shipping width","shipping height","sales tax pct","sales tax state",manufacturer,"Shipping for Canada","Shipping for International","w2b handling fee","W2B 3% Transaction Fee USA","W2B 3% Transaction Fee Canada","W2B 3% Transaction Fee International","USA ZONE","CANADA ZONE",Attributes,"Extra Img 1","Extra Img 2","Extra Img 3","Extra Img 4","Extra Img 5","Extra Img 6","description no html","supplier name - item number","supplier category 1","supplier category 2","supplier category 3","supplier category 4"
PY-108,"Walther CP88, Blued, 6 inch barrel","CP88 Competition with foam-lined plastic pistol case & 2 circular clips  polished, blued with black polymer frame<br />Caliber: 0.177<br />Velocity: 450.00<br />CP 88 BLUED  (""Blued"" is a term that means it was treated with black oxide. The result is a black finish.)  The Walther CP88 features a frame-mounted thumb safety, rifled steel barrel, rear sights are adjustable for windage, contoured checkered grips, serrated slide assembly all packaged in a foam lined hard side case.","CP88 Competition with foam-lined plastic pistol case & 2 circular clips  polished, blued with black polymer frame<br />Caliber: 0.177<br />Velocity: 450.00<br />CP 88 BLUED  (""Blued"" is a term that means it was treated with black oxide. The result is a black finish.)  The Walther CP88 features a frame-mounted thumb safety, rifled steel barrel, rear sights are adjustable for windage, contoured checkered grips, serrated slide assembly all packaged in a foam lined hard side case.",,"Airguns, Pistols","Air Pistols",,,229.95,178.82,209.95,0,1.72,10,Y,723364520549,PY-108.jpg,http://www.imageserverhost.com/simg/P892/large/PY-108.jpg,http://www.imageserverhost.com/simg/P892/small/PY-108.jpg,N,,15.45,PY-108-365,,,,0,NULL,Walther,,,2.5,,,,$6,,,,,,,,,"CP88 Competition with foam-lined plastic pistol case & 2 circular clips  polished, blued with black polymer frameCaliber: 0.177Velocity: 450.00CP 88 BLUED  (""Blued"" is a term that means it was treated with black oxide. The result is a black finish.)  The Walther CP88 features a frame-mounted thumb safety, rifled steel barrel, rear sights are adjustable for windage, contoured checkered grips, serrated slide assembly all packaged in a foam lined hard side case.",Air-Venturi-PY-108,"Air Pistols",,,
PY-1112,"Walther P22 Special Operations Clear","Caliber: 6 mm Action: Single Max. energy: 0.5 joules<br />Caliber: 0.24<br />Velocity: 260.00<br />Walther surpassed themselves when they designed the original P22 in terms of quality and workmanship. This compact pistol is highly robust and simple to use in its 6 mm format. A must for Walther fans!","Caliber: 6 mm Action: Single Max. energy: 0.5 joules<br />Caliber: 0.24<br />Velocity: 260.00<br />Walther surpassed themselves when they designed the original P22 in terms of quality and workmanship. This compact pistol is highly robust and simple to use in its 6 mm format. A must for Walther fans!",,"Airguns, Pistols","Airsoft Guns",,,25.99,14.27,19.99,0,1.8,4,Y,723364720000,PY-1112.jpg,http://www.imageserverhost.com/simg/P892/large/PY-1112.jpg,http://www.imageserverhost.com/simg/P892/small/PY-1112.jpg,N,,15.45,PY-1112-2025,,,,0,NULL,Walther,,,2.5,,,,$6,,,,,,,,,"Caliber: 6 mm Action: Single Max. energy: 0.5 joulesCaliber: 0.24Velocity: 260.00Walther surpassed themselves when they designed the original P22 in terms of quality and workmanship. This compact pistol is highly robust and simple to use in its 6 mm format. A must for Walther fans!",Air-Venturi-PY-1112,"Airsoft Guns",,,
PY-1204-2147,"Diana RWS 460 Magnum","RWS 460 Magnum .177<br />Caliber: 0.177<br />Velocity: 1200.00<br />RWS 460 Magnum Spring-piston Underlever Single-shot 2-stage adjustable TO6 trigger Iron sights (adj. rear) Checkered forearm & grip Monte Carlo stock w/raised RH cheekpiece 36 lbs. cocking effort Beautifully executed stock work and bluing","RWS 460 Magnum .177<br />Caliber: 0.177<br />Velocity: 1200.00<br />RWS 460 Magnum Spring-piston Underlever Single-shot 2-stage adjustable TO6 trigger Iron sights (adj. rear) Checkered forearm & grip Monte Carlo stock w/raised RH cheekpiece 36 lbs. cocking effort Beautifully executed stock work and bluing",,"Airguns, Pistols","Air Rifles",,,599.95,478.56,559.95,0,4.67,1,Y,723364664458,PY-1204-2147.jpg,http://www.imageserverhost.com/simg/P892/large/PY-1204-2147.jpg,http://www.imageserverhost.com/simg/P892/small/PY-1204-2147.jpg,N,,17.2,PY-1204-2147,,,,0,NULL,RWS,,,2.5,,,,$6,,,,,,,,,"RWS 460 Magnum .177Caliber: 0.177Velocity: 1200.00RWS 460 Magnum Spring-piston Underlever Single-shot 2-stage adjustable TO6 trigger Iron sights (adj. rear) Checkered forearm & grip Monte Carlo stock w/raised RH cheekpiece 36 lbs. cocking effort Beautifully executed stock work and bluing",Air-Venturi-PY-1204-2147,"Air Rifles",,,
PY-1347,"Marksman 3060K Slingshot Kit, Adjustable","Everything you need to start shooting the minute it arrives!<br />Caliber:  <br />Velocity: 0.00<br />Fully adjustable slingshot Wrist brace with integrated ammo mag has 2"" of adjustability Hyper-velocity tapered band delivers 30% higher velocity (with 30% less effort) Extendible yoke adjusts up to 3"" for more draw length Weatherproof, powder-coated finish Includes .177 cal steel shot (500 pcs), .30 cal steel shot (100 pcs) and a replacement band   <font color=red>Wrist-braced slingshots cannot be shipped to addresses in New York State.</font>","Everything you need to start shooting the minute it arrives!<br />Caliber:  <br />Velocity: 0.00<br />Fully adjustable slingshot Wrist brace with integrated ammo mag has 2"" of adjustability Hyper-velocity tapered band delivers 30% higher velocity (with 30% less effort) Extendible yoke adjusts up to 3"" for more draw length Weatherproof, powder-coated finish Includes .177 cal steel shot (500 pcs), .30 cal steel shot (100 pcs) and a replacement band   <font color=red>Wrist-braced slingshots cannot be shipped to addresses in New York State.</font>",,Outdoors/sport,Slingshots,,,19.99,11.61,15.95,0,0.45,0,N,026785130602,PY-1347.jpg,http://www.imageserverhost.com/simg/P892/large/PY-1347.jpg,http://www.imageserverhost.com/simg/P892/small/PY-1347.jpg,N,,13.49,PY-1347-2382,,,,0,NULL,Marksman,,,2.5,,,,$6,,,,,,,,,"Everything you need to start shooting the minute it arrives!Caliber:  Velocity: 0.00Fully adjustable slingshot Wrist brace with integrated ammo mag has 2"" of adjustability Hyper-velocity tapered band delivers 30% higher velocity (with 30% less effort) Extendible yoke adjusts up to 3"" for more draw length Weatherproof, powder-coated finish Includes .177 cal steel shot (500 pcs), .30 cal steel shot (100 pcs) and a replacement band   Wrist-braced slingshots cannot be shipped to addresses in New York State.",Air-Venturi-PY-1347,Slingshots,,,
PY-1620,"CenterPoint Sentinel Bow","Sentinel long bow with everything your youth needs to get started!<br />Caliber:  <br />Velocity: 0.00<br />Equipped with durable, heavy weight fiberglass composite limbs. This fine youth archery product boasts a center shot composite riser, backed with heavy duty all weather strings. A durable right hand rest makes the Sentinel an outstanding shooting long bow.        Includes two composite youth arrows, two-piece quiver, arm guard, finger tab, pin sight and arrow rest.","Sentinel long bow with everything your youth needs to get started!<br />Caliber:  <br />Velocity: 0.00<br />Equipped with durable, heavy weight fiberglass composite limbs. This fine youth archery product boasts a center shot composite riser, backed with heavy duty all weather strings. A durable right hand rest makes the Sentinel an outstanding shooting long bow.        Includes two composite youth arrows, two-piece quiver, arm guard, finger tab, pin sight and arrow rest.",,Hunting,"Archery Bows",,,50,38.35,45.95,0,3.63,20,Y,028478129474,PY-1620.jpg,http://www.imageserverhost.com/simg/P892/large/PY-1620.jpg,http://www.imageserverhost.com/simg/P892/small/PY-1620.jpg,N,,16.99,PY-1620-3072,,,,0,NULL,CenterPoint,,,2.5,,,,$6,,,,,,,,,"Sentinel long bow with everything your youth needs to get started!Caliber:  Velocity: 0.00Equipped with durable, heavy weight fiberglass composite limbs. This fine youth archery product boasts a center shot composite riser, backed with heavy duty all weather strings. A durable right hand rest makes the Sentinel an outstanding shooting long bow.        Includes two composite youth arrows, two-piece quiver, arm guard, finger tab, pin sight and arrow rest.",Air-Venturi-PY-1620,Bows,,,
PY-3548-6843,"Walther LGU Air Rifle","Walther LGU underlever with integral silencing system 1000 fps w/alloy pellets 870 fps w/lead pellets<br />Caliber: 0.177<br />Velocity: 1000.00<br /><p><strong>Walther LGU air rifle</strong></p>    Spring-piston  Underlever  Single-shot  No open sights  11mm dovetail grooves  Vibration-reduction technology  37 lbs. cocking effort  Adjustable 2-stage trigger (pull weight and first-stage travel)  Factory-set pull is 1.97 lbs.  Super Silent Technology reduces the report  Vibration-reduction system for smoother operation  Automatic safety  Ambidextrous beech stock with twin raised cheekpieces  Checkered pistol grip  Ventilated rubber recoil pad  Can be manually be decocked  <strong>Limited lifetime warranty</strong>","Walther LGU underlever with integral silencing system 1000 fps w/alloy pellets 870 fps w/lead pellets<br />Caliber: 0.177<br />Velocity: 1000.00<br /><p><strong>Walther LGU air rifle</strong></p>    Spring-piston  Underlever  Single-shot  No open sights  11mm dovetail grooves  Vibration-reduction technology  37 lbs. cocking effort  Adjustable 2-stage trigger (pull weight and first-stage travel)  Factory-set pull is 1.97 lbs.  Super Silent Technology reduces the report  Vibration-reduction system for smoother operation  Automatic safety  Ambidextrous beech stock with twin raised cheekpieces  Checkered pistol grip  Ventilated rubber recoil pad  Can be manually be decocked  <strong>Limited lifetime warranty</strong>",,"Airguns, Pistols","Blank Firing Guns",,,650,482.28,569.99,0,5.22,1,Y,723364520716,PY-3548-6843.jpg,http://www.imageserverhost.com/simg/P892/large/PY-3548-6843.jpg,http://www.imageserverhost.com/simg/P892/small/PY-3548-6843.jpg,N,,17.52,PY-3548-6843,,,,0,NULL,Walther,,,2.5,,,,$6,,,,,,,,,"Walther LGU underlever with integral silencing system 1000 fps w/alloy pellets 870 fps w/lead pelletsCaliber: 0.177Velocity: 1000.00Walther LGU air rifle    Spring-piston  Underlever  Single-shot  No open sights  11mm dovetail grooves  Vibration-reduction technology  37 lbs. cocking effort  Adjustable 2-stage trigger (pull weight and first-stage travel)  Factory-set pull is 1.97 lbs.  Super Silent Technology reduces the report  Vibration-reduction system for smoother operation  Automatic safety  Ambidextrous beech stock with twin raised cheekpieces  Checkered pistol grip  Ventilated rubber recoil pad  Can be manually be decocked  Limited lifetime warranty",Air-Venturi-PY-3548-6843,"Blank Firing Guns",,,
PY-3594,"Crosman Wildhorn Compound Bow","Wildhorn compound bow set includes bow, two 26"" composite arrows, 2-piece quiver, finger guard, arrow rest, arm guard and pin sight<br />Caliber:  <br />Velocity: 0.00<br />Crosman Wildhorn compound bow Youth bow 27.50"" axle to axle 29 lbs. max draw weight 17"" to 26"" draw length 6.5"" brace height 65% let-off Right-hand grip Composite 1.60 lbs (bow only) Includes bow, two 26"" composite arrows, 2-piece quiver, finger guard, arrow rest, arm guard and pin sight","Wildhorn compound bow set includes bow, two 26"" composite arrows, 2-piece quiver, finger guard, arrow rest, arm guard and pin sight<br />Caliber:  <br />Velocity: 0.00<br />Crosman Wildhorn compound bow Youth bow 27.50"" axle to axle 29 lbs. max draw weight 17"" to 26"" draw length 6.5"" brace height 65% let-off Right-hand grip Composite 1.60 lbs (bow only) Includes bow, two 26"" composite arrows, 2-piece quiver, finger guard, arrow rest, arm guard and pin sight",,Hunting,"Archery & Accessories",,,79.95,44.06,69.95,0,1.41,1,Y,028478144606,PY-3594.jpg,http://www.imageserverhost.com/simg/P892/large/PY-3594.jpg,http://www.imageserverhost.com/simg/P892/small/PY-3594.jpg,N,,14.05,PY-3594-6924,,,,0,NULL,Crosman,,,2.5,,,,$6,,,,,,,,,"Wildhorn compound bow set includes bow, two 26"" composite arrows, 2-piece quiver, finger guard, arrow rest, arm guard and pin sightCaliber:  Velocity: 0.00Crosman Wildhorn compound bow Youth bow 27.50"" axle to axle 29 lbs. max draw weight 17"" to 26"" draw length 6.5"" brace height 65% let-off Right-hand grip Composite 1.60 lbs (bow only) Includes bow, two 26"" composite arrows, 2-piece quiver, finger guard, arrow rest, arm guard and pin sight",Air-Venturi-PY-3594,Crossbows,,,
PY-A-1017,"Air Venturi Impact Putty","Impact putty  6-lb. brick  Cut to fit the <a href=""/s/a/Air_Venturi_A_G_E_Quiet_Pellet_Trap/1018"" target=""_top""> A.G.E. Quiet Trap</a>  Approximate dimensions, 11"" x 6"" x 1.5""","Impact putty  6-lb. brick  Cut to fit the <a href=""/s/a/Air_Venturi_A_G_E_Quiet_Pellet_Trap/1018"" target=""_top""> A.G.E. Quiet Trap</a>  Approximate dimensions, 11"" x 6"" x 1.5""",,Hunting,Targets,"Pellet And Bb Traps",,25.99,7.13,11.99,0,2.9,10,Y,819024011769,PY-A-1017.jpg,http://www.imageserverhost.com/simg/P892/large/PY-A-1017.jpg,http://www.imageserverhost.com/simg/P892/small/PY-A-1017.jpg,N,,16.79,PY-A-1017,,,,0,NULL,"Air Venturi",,,2.5,,,,$6,,,,,,,,,"Impact putty  6-lb. brick  Cut to fit the  A.G.E. Quiet Trap  Approximate dimensions, 11"" x 6"" x 1.5""",Air-Venturi-PY-A-1017,Targets,"Pellet And Bb Traps",,
PY-A-102,"AirForce Extra Air Tank, Air or Nitrogen, Fits Talon & Talon SS","There's nothing like an extra tank for air or nitrogen to keep the shooting fun going! Air tank includes metal buttplate.","There's nothing like an extra tank for air or nitrogen to keep the shooting fun going! Air tank includes metal buttplate.",,"Airguns, Pistols","Airforce Accessories",,,209.95,149.89,199.95,0,2.25,3,Y,814136024218,PY-A-102.jpg,http://www.imageserverhost.com/simg/P892/large/PY-A-102.jpg,http://www.imageserverhost.com/simg/P892/small/PY-A-102.jpg,N,,16.79,PY-A-102,,,,0,NULL,AirForce,,,2.5,,,,$6,,,,,,,,,"There's nothing like an extra tank for air or nitrogen to keep the shooting fun going! Air tank includes metal buttplate.",Air-Venturi-PY-A-102,"Airforce Accessories",,,
PY-A-1046,"BSA Varmint Hunter Precision Laser Sight & Light","Fast and very simple way to mount both a bright target illuminating light plus a fast aiming red laser to almost any scope with a 1"" diameter body tube. Now you can illuminate your target under low light or zero light conditions while simultaneously directing a laser beam that will denote point of pellet strike. Easily mounts onto any 1"" rifle scope with up to a 50mm diameter objective lens. Works for all small caliber rifles and all air rifles up to 1000 fps. Kit includes mounting bracket; instruction manual; hex wrench set, 3V. battery for flashlight & (3) 1.5V LR44 batteries for laser sight; remote pressure- sensitive switch and manual push button switch for both laser and flash light. Aluminum mounting bracket, laser and light bodies, black anodized finish.","Fast and very simple way to mount both a bright target illuminating light plus a fast aiming red laser to almost any scope with a 1"" diameter body tube. Now you can illuminate your target under low light or zero light conditions while simultaneously directing a laser beam that will denote point of pellet strike. Easily mounts onto any 1"" rifle scope with up to a 50mm diameter objective lens. Works for all small caliber rifles and all air rifles up to 1000 fps. Kit includes mounting bracket; instruction manual; hex wrench set, 3V. battery for flashlight & (3) 1.5V LR44 batteries for laser sight; remote pressure- sensitive switch and manual push button switch for both laser and flash light. Aluminum mounting bracket, laser and light bodies, black anodized finish.",,"Airguns, Pistols",Lasers,"Red Dots And Iron Sights",,59.9,27.00,34.99,0,1,0,N,631618109320,PY-A-1046.jpg,http://www.imageserverhost.com/simg/P892/large/PY-A-1046.jpg,http://www.imageserverhost.com/simg/P892/small/PY-A-1046.jpg,N,,14.05,PY-A-1046,,,,0,NULL,BSA,,,2.5,,,,$6,,,,,,,,,"Fast and very simple way to mount both a bright target illuminating light plus a fast aiming red laser to almost any scope with a 1"" diameter body tube. Now you can illuminate your target under low light or zero light conditions while simultaneously directing a laser beam that will denote point of pellet strike. Easily mounts onto any 1"" rifle scope with up to a 50mm diameter objective lens. Works for all small caliber rifles and all air rifles up to 1000 fps. Kit includes mounting bracket; instruction manual; hex wrench set, 3V. battery for flashlight & (3) 1.5V LR44 batteries for laser sight; remote pressure- sensitive switch and manual push button switch for both laser and flash light. Aluminum mounting bracket, laser and light bodies, black anodized finish.",Air-Venturi-PY-A-1046,Lasers,"Red Dots And Iron Sights",,
