"Item #","Product Name","Product Description","Product description orignal html",Brand,"category 1","category 2","category 3","category 4","Retail Price","Wholesale Price Before Markup","MAP Price","Supplier handling fee",Weight,"Qty in stock","In Stock",UPC,"Image name","URL to large image","URL to thumb image","refurbished flag","Attribute list","Shipping for USA","manufacturer prod id","shipping length","shipping width","shipping height","sales tax pct","sales tax state",manufacturer,"Shipping for Canada","Shipping for International","w2b handling fee","W2B 3% Transaction Fee USA","W2B 3% Transaction Fee Canada","W2B 3% Transaction Fee International","USA ZONE","CANADA ZONE",Attributes,"Extra Img 1","Extra Img 2","Extra Img 3","Extra Img 4","Extra Img 5","Extra Img 6","description no html","supplier name - item number","supplier category 1","supplier category 2","supplier category 3","supplier category 4"
AHI-10,"MCS-01 Aluminum Motorcycle Carrier Ramp","This motorcycle carrier is designed for bikes with up to 5 1/2 wide tires. The carrier measures 75's and can handle motorcycles larger.  The motorcycle pictured is a Suzuki 400 DRZ and measures 84's from outside tire to outside tire. Extremely lightweight combination of aluminum and powder coated steel construction - 45 lbs. (all steel carriers usually have the same weight limit but weigh much more making it difficult to carry or store- and steel will rust).<br><br>Also includes a lightweight aluminum loading ramp for loading your cycle onto the carrier and it conveniently attaches onto the carrier next to the carrier track for transport. <br><br>Maximum carrying capacity of 400 lbs. Fits a 2 square class II, III, IV, or V - trailer hitch receiver. The anti-tilt trailer hitch locking device prevents the carrier from rocking. <br><br>Works great for RV's, campers, pick up trucks, vans and SUV's.<br><br>Load your cycle from the left or right (photo shows left mount; however, carrier could be bolted in a right load position also). Assembles in minutes with only 8 bolts and nuts. The hitch tube is constructed of steel with a durable gray powder coating. The main hitch tube is 18 long from center of hitch pin to center of ramp. <br><br>","This motorcycle carrier is designed for bikes with up to 5 1/2 wide tires. The carrier measures 75's and can handle motorcycles larger.  The motorcycle pictured is a Suzuki 400 DRZ and measures 84's from outside tire to outside tire. Extremely lightweight combination of aluminum and powder coated steel construction - 45 lbs. (all steel carriers usually have the same weight limit but weigh much more making it difficult to carry or store- and steel will rust).<br><br>Also includes a lightweight aluminum loading ramp for loading your cycle onto the carrier and it conveniently attaches onto the carrier next to the carrier track for transport. <br><br>Maximum carrying capacity of 400 lbs. Fits a 2 square class II, III, IV, or V - trailer hitch receiver. The anti-tilt trailer hitch locking device prevents the carrier from rocking. <br><br>Works great for RV's, campers, pick up trucks, vans and SUV's.<br><br>Load your cycle from the left or right (photo shows left mount; however, carrier could be bolted in a right load position also). Assembles in minutes with only 8 bolts and nuts. The hitch tube is constructed of steel with a durable gray powder coating. The main hitch tube is 18 long from center of hitch pin to center of ramp. <br><br>",,Motorcycle,"Motorcycle Accessories",,,199.99,89.95,,3.99,43,0,N,812927012109,AHI-10.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-10.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-10.jpg,N,,0,AHI-10,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"This motorcycle carrier is designed for bikes with up to 5 1/2 wide tires. The carrier measures 75's and can handle motorcycles larger.  The motorcycle pictured is a Suzuki 400 DRZ and measures 84's from outside tire to outside tire. Extremely lightweight combination of aluminum and powder coated steel construction - 45 lbs. (all steel carriers usually have the same weight limit but weigh much more making it difficult to carry or store- and steel will rust).Also includes a lightweight aluminum loading ramp for loading your cycle onto the carrier and it conveniently attaches onto the carrier next to the carrier track for transport. Maximum carrying capacity of 400 lbs. Fits a 2 square class II, III, IV, or V - trailer hitch receiver. The anti-tilt trailer hitch locking device prevents the carrier from rocking. Works great for RV's, campers, pick up trucks, vans and SUV's.Load your cycle from the left or right (photo shows left mount; however, carrier could be bolted in a right load position also). Assembles in minutes with only 8 bolts and nuts. The hitch tube is constructed of steel with a durable gray powder coating. The main hitch tube is 18 long from center of hitch pin to center of ramp. ",ahidistribution.com-AHI-10,"Ahi Motorcycle Accessories",,,
AHI-23,"Motorcycle Wheel Shoe","Secures your bike much better than the shorter wheel chocks<br><br>Your Bike Remains In Place Allowing Your Suspension To Absorb Movement<br><br>Excellent for Duel Sports and Motocross Bikes<br><br>Clamps To Any 19-23 Wheel<br><br>o Pressure Applied To your Fork Springs! Helps Prevent Shock/ Spring Damage<br><br>Attaches To Your Trailer, Truck, Van, Etc...<br><br>Easy To Load And Unload Quickly<br><br>Hardware Included<br><br>Color Black (Blue Images To Help With Contrast)<br><br>Easy To Paint Any Color (Paint Not Included)<br><br>1 YEAR WARRANTY!<br>","Secures your bike much better than the shorter wheel chocks<br><br>Your Bike Remains In Place Allowing Your Suspension To Absorb Movement<br><br>Excellent for Duel Sports and Motocross Bikes<br><br>Clamps To Any 19-23 Wheel<br><br>o Pressure Applied To your Fork Springs! Helps Prevent Shock/ Spring Damage<br><br>Attaches To Your Trailer, Truck, Van, Etc...<br><br>Easy To Load And Unload Quickly<br><br>Hardware Included<br><br>Color Black (Blue Images To Help With Contrast)<br><br>Easy To Paint Any Color (Paint Not Included)<br><br>1 YEAR WARRANTY!<br>",,Motorcycle,"Motorcycle Accessories",,,100,51.31,,3.99,29,0,N,812927012123,AHI-23.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-23.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-23.jpg,N,,0,AHI-23,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Secures your bike much better than the shorter wheel chocksYour Bike Remains In Place Allowing Your Suspension To Absorb MovementExcellent for Duel Sports and Motocross BikesClamps To Any 19-23 Wheelo Pressure Applied To your Fork Springs! Helps Prevent Shock/ Spring DamageAttaches To Your Trailer, Truck, Van, Etc...Easy To Load And Unload QuicklyHardware IncludedColor Black (Blue Images To Help With Contrast)Easy To Paint Any Color (Paint Not Included)1 YEAR WARRANTY!",ahidistribution.com-AHI-23,"Ahi Motorcycle Accessories",,,
AHI-28,"Motorcycle Wheel Chock 3.5 Inch","Stabilizes motorcycle front wheel during transport<br>o tools required after installation!<br>Your Bike Remains In Place Allowing Your Suspension To Absorb Movement<br>Excellent for Sport, Cruiser, motocross and Custom Bikes<br>Includes all installation hardware needed for a quick installation and removal<br>Attaches To Your Trailer, Truck, Van, Etc...<br>Easy To Load And Unload Quickly<br>Constructed of 1 heavy duty steel tubing<br>Powder coated black<br>3.5 wide<br>13 Long<br>9 High","Stabilizes motorcycle front wheel during transport<br>o tools required after installation!<br>Your Bike Remains In Place Allowing Your Suspension To Absorb Movement<br>Excellent for Sport, Cruiser, motocross and Custom Bikes<br>Includes all installation hardware needed for a quick installation and removal<br>Attaches To Your Trailer, Truck, Van, Etc...<br>Easy To Load And Unload Quickly<br>Constructed of 1 heavy duty steel tubing<br>Powder coated black<br>3.5 wide<br>13 Long<br>9 High",,Motorcycle,"Motorcycle Accessories",,,49.99,25.21,,3.99,5,0,N,812927012154,AHI-28.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-28.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-28.jpg,N,,0,AHI-28,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Stabilizes motorcycle front wheel during transporto tools required after installation!Your Bike Remains In Place Allowing Your Suspension To Absorb MovementExcellent for Sport, Cruiser, motocross and Custom BikesIncludes all installation hardware needed for a quick installation and removalAttaches To Your Trailer, Truck, Van, Etc...Easy To Load And Unload QuicklyConstructed of 1 heavy duty steel tubingPowder coated black3.5 wide13 Long9 High",ahidistribution.com-AHI-28,"Ahi Motorcycle Accessories",,,
AHI-29,"Motorcycle Wheel Chock 5.5 Inch","Stabilizes motorcycle front wheel during transport<br>o tools required after installation!<br>Your Bike Remains In Place Allowing Your Suspension To Absorb Movement<br>Excellent for Sport, Cruiser, motocross and Custom Bikes<br>Includes all installation hardware needed for a quick installation and removal<br>Attaches To Your Trailer, Truck, Van, Etc...<br>Easy To Load And Unload Quickly<br>Constructed of 1 heavy duty steel tubing<br>Powder coated black<br>5.5 wide<br>13 Long<br>9 High<br><br>","Stabilizes motorcycle front wheel during transport<br>o tools required after installation!<br>Your Bike Remains In Place Allowing Your Suspension To Absorb Movement<br>Excellent for Sport, Cruiser, motocross and Custom Bikes<br>Includes all installation hardware needed for a quick installation and removal<br>Attaches To Your Trailer, Truck, Van, Etc...<br>Easy To Load And Unload Quickly<br>Constructed of 1 heavy duty steel tubing<br>Powder coated black<br>5.5 wide<br>13 Long<br>9 High<br><br>",,Motorcycle,"Motorcycle Accessories",,,59.99,26.00,,3.99,5,290,Y,812927012147,AHI-29.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-29.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-29.jpg,N,,0,AHI-29,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Stabilizes motorcycle front wheel during transporto tools required after installation!Your Bike Remains In Place Allowing Your Suspension To Absorb MovementExcellent for Sport, Cruiser, motocross and Custom BikesIncludes all installation hardware needed for a quick installation and removalAttaches To Your Trailer, Truck, Van, Etc...Easy To Load And Unload QuicklyConstructed of 1 heavy duty steel tubingPowder coated black5.5 wide13 Long9 High",ahidistribution.com-AHI-29,"Ahi Motorcycle Accessories",,,
AHI-30,"Motorcycle Wheel Chock 6.5 Inch","Stabilizes motorcycle front wheel during transport<br>o tools required after installation!<br>Your Bike Remains In Place Allowing Your Suspension To Absorb Movement<br>Excellent for Sport, Cruiser, motocross and Custom Bikes<br>Includes all installation hardware needed for a quick installation and removal<br>Attaches To Your Trailer, Truck, Van, Etc...<br>Easy To Load And Unload Quickly<br>Constructed of 1 heavy duty steel tubing<br>Powder coated black<br>6.5 wide<br>13 Long<br>9 High<br>","Stabilizes motorcycle front wheel during transport<br>o tools required after installation!<br>Your Bike Remains In Place Allowing Your Suspension To Absorb Movement<br>Excellent for Sport, Cruiser, motocross and Custom Bikes<br>Includes all installation hardware needed for a quick installation and removal<br>Attaches To Your Trailer, Truck, Van, Etc...<br>Easy To Load And Unload Quickly<br>Constructed of 1 heavy duty steel tubing<br>Powder coated black<br>6.5 wide<br>13 Long<br>9 High<br>",,Motorcycle,"Motorcycle Accessories",,,59.99,26.08,,3.99,5,627,Y,812927012130,AHI-30.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-30.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-30.jpg,N,,0,AHI-30,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Stabilizes motorcycle front wheel during transporto tools required after installation!Your Bike Remains In Place Allowing Your Suspension To Absorb MovementExcellent for Sport, Cruiser, motocross and Custom BikesIncludes all installation hardware needed for a quick installation and removalAttaches To Your Trailer, Truck, Van, Etc...Easy To Load And Unload QuicklyConstructed of 1 heavy duty steel tubingPowder coated black6.5 wide13 Long9 High",ahidistribution.com-AHI-30,"Ahi Motorcycle Accessories",,,
AHI-35,"Motorcycle Trailer Hitch Carrier Tow Dolly","Each has a wheel ratchet strap included that attaches to the frame of the tow dolly (2-4 additional ratchet straps will be required).  Includes a T-Bar for additional stabilizer straps.<br><br>Designed to slide into any 2x2 trailer hitch receiver.<br><br>Locking pin included! <br><br>Loading Ramp Kit Included.<br>Maximum Weight<br><br>450lbs resting weight on the Tow Dolly<br><br>","Each has a wheel ratchet strap included that attaches to the frame of the tow dolly (2-4 additional ratchet straps will be required).  Includes a T-Bar for additional stabilizer straps.<br><br>Designed to slide into any 2x2 trailer hitch receiver.<br><br>Locking pin included! <br><br>Loading Ramp Kit Included.<br>Maximum Weight<br><br>450lbs resting weight on the Tow Dolly<br><br>",,Motorcycle,"Motorcycle Accessories",,,229.99,139.05,,3.99,45,0,N,812927012178,AHI-35.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-35.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-35.jpg,N,,0,AHI-35,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Each has a wheel ratchet strap included that attaches to the frame of the tow dolly (2-4 additional ratchet straps will be required).  Includes a T-Bar for additional stabilizer straps.Designed to slide into any 2x2 trailer hitch receiver.Locking pin included! Loading Ramp Kit Included.Maximum Weight450lbs resting weight on the Tow Dolly",ahidistribution.com-AHI-35,"Ahi Motorcycle Accessories",,,
AHI-407,"Motorcycle Wheel Chock Deluxe Adjustable","Built-in tie downs (2) for added safety and Support<br>Motorcycle Fully supported in an upright positio<br>12 gauge Powder-coated plated steel base and wheel chock <br>Can be permanently mounted to the bottom of a trailer or to the ground<br>Adjustable wheel locking system <br>Fully adjustable & Heavy duty wheel chock<br><br>Overall dimensions: 36 Inches Length x 35-1/4 Inches Width x 16-1/8 Inches Height <br>Wheel plate dimensions: 5-1/8 Inches Length x 9-1/2 Inches Width x 15-1/8 Inches Height <br>Wheel support dimensions: 8-13/16 Inches Length x 7-7/8 Inches Width<br>Accommodates front or rear wheel sizes from 15 to 22 (80-127W).<br>","Built-in tie downs (2) for added safety and Support<br>Motorcycle Fully supported in an upright positio<br>12 gauge Powder-coated plated steel base and wheel chock <br>Can be permanently mounted to the bottom of a trailer or to the ground<br>Adjustable wheel locking system <br>Fully adjustable & Heavy duty wheel chock<br><br>Overall dimensions: 36 Inches Length x 35-1/4 Inches Width x 16-1/8 Inches Height <br>Wheel plate dimensions: 5-1/8 Inches Length x 9-1/2 Inches Width x 15-1/8 Inches Height <br>Wheel support dimensions: 8-13/16 Inches Length x 7-7/8 Inches Width<br>Accommodates front or rear wheel sizes from 15 to 22 (80-127W).<br>",,Motorcycle,"Motorcycle Accessories",,,149.99,52.18,,3.99,18,0,N,812927012161,AHI-407.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-407.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-407.jpg,N,,0,AHI-407,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Built-in tie downs (2) for added safety and SupportMotorcycle Fully supported in an upright positio12 gauge Powder-coated plated steel base and wheel chock Can be permanently mounted to the bottom of a trailer or to the groundAdjustable wheel locking system Fully adjustable & Heavy duty wheel chockOverall dimensions: 36 Inches Length x 35-1/4 Inches Width x 16-1/8 Inches Height Wheel plate dimensions: 5-1/8 Inches Length x 9-1/2 Inches Width x 15-1/8 Inches Height Wheel support dimensions: 8-13/16 Inches Length x 7-7/8 Inches WidthAccommodates front or rear wheel sizes from 15 to 22 (80-127W).",ahidistribution.com-AHI-407,"Ahi Motorcycle Accessories",,,
AHI-652,"MC600 Steel Motorcycle Carrier Ramp","Would you like to haul your motocross motorcycle but do not need the headaches of pulling a trailer? This carrier will help pay for itself in the fuel you will save alone by not having to pull a heavy trailer! The 600lb motorcycle carrier is just what you are looking for to ease transporting your motorcycle.<br><br>Though not shown , this is the perfect carrier for sport bikes. This motorcycle carrier is designed for bikes with up to 5 1/2 wide tires. The carrier measures 75 and can handle larger sized motorcycles. Black coated steel construction - 67 lbs.<br><br>This motorcycle carrier also includes a lightweight steel loading ramp for loading your cycle onto the carrier and it conveniently attaches onto the carrier next to the carrier track for transport. This motorcycle hitch carrier has a maximum carrying capacity of 600 lbs.<br><br>This carrier comes standard to fit in a 2 square class III, trailer hitch receiver. The anti-tilt trailer hitch locking device prevents the carrier from rocking. This unit works great for RV's, campers, pick up trucks, vans and SUV's. Load your cycle from the left or right (photo shows right mount). Assembles in minutes. The hitch tube is constructed of steel with a durable black coating. The main hitch tube is 18 long from center of hitch pin to center of ramp.<br><br>        *  600lb Weight Limit<br>    * Fits tires up to 5.5 wide<br>    * Fits 2 square class III, trailer hitch receiver<br>    * Lightweight steel loading ramp<br>    * INCLUDED Anti-Wobble Attachment<br><br>","Would you like to haul your motocross motorcycle but do not need the headaches of pulling a trailer? This carrier will help pay for itself in the fuel you will save alone by not having to pull a heavy trailer! The 600lb motorcycle carrier is just what you are looking for to ease transporting your motorcycle.<br><br>Though not shown , this is the perfect carrier for sport bikes. This motorcycle carrier is designed for bikes with up to 5 1/2 wide tires. The carrier measures 75 and can handle larger sized motorcycles. Black coated steel construction - 67 lbs.<br><br>This motorcycle carrier also includes a lightweight steel loading ramp for loading your cycle onto the carrier and it conveniently attaches onto the carrier next to the carrier track for transport. This motorcycle hitch carrier has a maximum carrying capacity of 600 lbs.<br><br>This carrier comes standard to fit in a 2 square class III, trailer hitch receiver. The anti-tilt trailer hitch locking device prevents the carrier from rocking. This unit works great for RV's, campers, pick up trucks, vans and SUV's. Load your cycle from the left or right (photo shows right mount). Assembles in minutes. The hitch tube is constructed of steel with a durable black coating. The main hitch tube is 18 long from center of hitch pin to center of ramp.<br><br>        *  600lb Weight Limit<br>    * Fits tires up to 5.5 wide<br>    * Fits 2 square class III, trailer hitch receiver<br>    * Lightweight steel loading ramp<br>    * INCLUDED Anti-Wobble Attachment<br><br>",,Motorcycle,"Motorcycle Accessories",,,349.99,165.28,,3.99,66,0,N,812927016008,AHI-652.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-652.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-652.jpg,N,,0,AHI-652,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Would you like to haul your motocross motorcycle but do not need the headaches of pulling a trailer? This carrier will help pay for itself in the fuel you will save alone by not having to pull a heavy trailer! The 600lb motorcycle carrier is just what you are looking for to ease transporting your motorcycle.Though not shown , this is the perfect carrier for sport bikes. This motorcycle carrier is designed for bikes with up to 5 1/2 wide tires. The carrier measures 75 and can handle larger sized motorcycles. Black coated steel construction - 67 lbs.This motorcycle carrier also includes a lightweight steel loading ramp for loading your cycle onto the carrier and it conveniently attaches onto the carrier next to the carrier track for transport. This motorcycle hitch carrier has a maximum carrying capacity of 600 lbs.This carrier comes standard to fit in a 2 square class III, trailer hitch receiver. The anti-tilt trailer hitch locking device prevents the carrier from rocking. This unit works great for RV's, campers, pick up trucks, vans and SUV's. Load your cycle from the left or right (photo shows right mount). Assembles in minutes. The hitch tube is constructed of steel with a durable black coating. The main hitch tube is 18 long from center of hitch pin to center of ramp.        *  600lb Weight Limit    * Fits tires up to 5.5 wide    * Fits 2 square class III, trailer hitch receiver    * Lightweight steel loading ramp    * INCLUDED Anti-Wobble Attachment",ahidistribution.com-AHI-652,"Ahi Motorcycle Accessories",,,
AHI-659,"Motorcycle Tachometer Hour Meter","Tractors, Dirt bike's , Motorcycles, Jet Ski, A TVs,Go Karts,Outboard, Stroke gasoline engines (4 stroke or 2 stroke),any spark ignition gas engine, Cart Engine's in the 25K RPM Range.<br><br> Resets to Zero after 10K Hours<br>Reads up to 99,999 RPM<br>Programmable Service Maintenance Setting         <br>Alerts When Abstinence is Required<br>LCD Display- <br>Simple Easy to Set up Desig<br>Splash Proof<br>Battery Included- Up to 35K Hours of Life<br>Works on any Spark Plug Gasoline engine","Tractors, Dirt bike's , Motorcycles, Jet Ski, A TVs,Go Karts,Outboard, Stroke gasoline engines (4 stroke or 2 stroke),any spark ignition gas engine, Cart Engine's in the 25K RPM Range.<br><br> Resets to Zero after 10K Hours<br>Reads up to 99,999 RPM<br>Programmable Service Maintenance Setting         <br>Alerts When Abstinence is Required<br>LCD Display- <br>Simple Easy to Set up Desig<br>Splash Proof<br>Battery Included- Up to 35K Hours of Life<br>Works on any Spark Plug Gasoline engine",,Motorcycle,"Motorcycle Accessories",,,39.99,17.38,,3.99,1,0,N,812927019535,AHI-659.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-659.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-659.jpg,N,,0,AHI-659,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Tractors, Dirt bike's , Motorcycles, Jet Ski, A TVs,Go Karts,Outboard, Stroke gasoline engines (4 stroke or 2 stroke),any spark ignition gas engine, Cart Engine's in the 25K RPM Range. Resets to Zero after 10K HoursReads up to 99,999 RPMProgrammable Service Maintenance Setting         Alerts When Abstinence is RequiredLCD Display- Simple Easy to Set up DesigSplash ProofBattery Included- Up to 35K Hours of LifeWorks on any Spark Plug Gasoline engine",ahidistribution.com-AHI-659,"Ahi Motorcycle Accessories",,,
AHI-660,"Motorcycle Dirt Bike Control Switch Blinker Horn Lights","Motorcycle Dirt Bike Control Switch Blinker Horn Lights<br>Overall Wire Length: 18 Inches<br>Fits 7/8 Inch Diameter Bars<br>8 Pin Connectio<br>Heavy Duty Housing<br>Universal Design <br>Fully Featured- <br>Lights-(HI/LO Beam) HORN, TURN SIGNAL<br><br>Compact, Lightweight,and Universal Design.","Motorcycle Dirt Bike Control Switch Blinker Horn Lights<br>Overall Wire Length: 18 Inches<br>Fits 7/8 Inch Diameter Bars<br>8 Pin Connectio<br>Heavy Duty Housing<br>Universal Design <br>Fully Featured- <br>Lights-(HI/LO Beam) HORN, TURN SIGNAL<br><br>Compact, Lightweight,and Universal Design.",,Motorcycle,"Motorcycle Accessories",,,44.99,18.25,,3.99,1,0,N,812927019528,AHI-660.jpg,http://www.imageserverhost.com/simg/B365/large/AHI-660.jpg,http://www.imageserverhost.com/simg/B365/small/AHI-660.jpg,N,,0,AHI-660,,,,0,NULL,,,,2.5,,,,$0,,,,,,,,,"Motorcycle Dirt Bike Control Switch Blinker Horn LightsOverall Wire Length: 18 InchesFits 7/8 Inch Diameter Bars8 Pin ConnectioHeavy Duty HousingUniversal Design Fully Featured- Lights-(HI/LO Beam) HORN, TURN SIGNALCompact, Lightweight,and Universal Design.",ahidistribution.com-AHI-660,"Ahi Motorcycle Accessories",,,
